名	メイ ・ ミョウ ・ な ・ -な	name; noted; distinguished; reputation	general
命	メイ ・ ミョウ ・ いのち	fate; command; decree; destiny; life; appoint	general
明	メイ ・ ミョウ ・ ミン ・ あかり ・ あかるい ・ あかるむ ・ あからむ ・ あきらか ・ あける ・ -あけ ・ あく ・ あくる ・ 	bright; light	general
面	メン ・ ベン ・ おも ・ おもて ・ つら	mask; face; features; surface	general
味	ミ ・ あじ ・ あじわう	flavor; taste	general
民	ミン ・ たみ	people; nation; subjects	general
務	ム ・ つとめる	task; duties	general
無	ム ・ ブ ・ ない	nothingness; none; ain't; nothing; nil; not	general
毎	マイ ・ ごと ・ -ごとに	every	general
末	マツ ・ バツ ・ すえ	end; close; tip; powder; posterity	general
万	マン ・ バン ・ よろず	ten thousand	general
補	ホ ・ おぎなう	supplement; supply; make good; offset; compensate; assistant; learner	general
報	ホウ ・ むくいる	report; news; reward; retribution	general
放	ホウ ・ はなす ・ -っぱなし ・ はなつ ・ はなれる ・ こく ・ ほうる	set free; release; fire; shoot; emit; banish; liberate	general
方	ホウ ・ かた ・ -かた ・ -がた	direction; person; alternative	general
法	ホウ ・ ハッ ・ ホッ ・ フラン ・ のり	method; law; rule; principle; model; system	general
訪	ホウ ・ おとずれる ・ たずねる ・ とう	call on; visit; look up; offer sympathy	general
望	ボウ ・ モウ ・ のぞむ ・ もち	ambition; full moon; hope; desire; aspire to; expect	general
防	ボウ ・ ふせぐ	ward off; defend; protect; resist	general
北	ホク ・ きた	north	general
本	ホン ・ もと	book; present; main; true; real; counter for long cylindrical things	general
保	ホ ・ ホウ ・ たもつ	protect; guarantee; keep; preserve; sustain; support	general
文	ブン ・ モン ・ ふみ ・ あや	sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)	general
聞	ブン ・ モン ・ きく ・ きこえる	hear; ask; listen	general
平	ヘイ ・ ビョウ ・ ヒョウ ・ たいら ・ -だいら ・ ひら ・ ひら-	even; flat; peace	general
米	ベイ ・ マイ ・ メエトル ・ こめ ・ よね	rice; USA; metre	general
別	ベツ ・ わかれる ・ わける	separate; branch off; diverge; fork; another; extra; specially	general
変	ヘン ・ かわる ・ かわり ・ かえる	unusual; change; strange	general
辺	ヘン ・ あたり ・ ほとり ・ -べ	environs; boundary; border; vicinity	general
負	フ ・ まける ・ まかす ・ おう	defeat; negative; -; minus; bear; owe; assume a responsibility	general
武	ブ ・ ム ・ たけし	warrior; military; chivalry; arms	general
部	ブ ・ -べ	section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine	general
副	フク	vice-; duplicate; copy	general
復	フク ・ また	restore; return to; revert; resume	general
福	フク	blessing; fortune; luck; wealth	general
物	ブツ ・ モツ ・ もの ・ もの-	thing; object; matter	general
分	ブン ・ フン ・ ブ ・ わける ・ わけ ・ わかれる ・ わかる ・ わかつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100	general
不	フ ・ ブ	negative; non-; bad; ugly; clumsy	general
付	フ ・ つける ・ -つける ・ -づける ・ つけ ・ つけ- ・ -つけ ・ -づけ ・ -づけ ・ つく ・ -づく ・ つき ・ -つき ・ -つ	adhere; attach; refer to; append	general
夫	フ ・ フウ ・ ブ ・ おっと ・ それ	husband; man	general
府	フ	borough; urban prefecture; govt office; representative body; storehouse	general
八	ハチ ・ や ・ やつ ・ やっつ ・ よう	eight; eight radical (no. 12)	general
発	ハツ ・ ホツ ・ たつ ・ あばく ・ おこる ・ つかわす ・ はなつ	discharge; departure; publish; emit; start from; disclose; counter for gunshots	general
判	ハン ・ バン ・ わかる	judgement; signature; stamp; seal	general
半	ハン ・ なかば	half; middle; odd number; semi-; part-	general
反	ハン ・ ホン ・ タン ・ ホ ・ そる ・ そらす ・ かえす ・ かえる ・ -かえる	anti-	general
番	バン ・ つがい	turn; number in a series	general
比	ヒ ・ くらべる	compare; race; ratio; Philipines	general
被	ヒ ・ こうむる ・ おおう ・ かぶる ・ かぶせる	incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving	general
費	ヒ ・ ついやす ・ ついえる	expense; cost; spend; consume; waste	general
非	ヒ ・ あらず	un-; mistake; negative; injustice; non-	general
備	ビ ・ そなえる ・ そなわる ・ つぶさに	equip; provision; preparation	general
美	ビ ・ ミ ・ うつくしい	beauty; beautiful	general
必	ヒツ ・ かならず	invariably; certain; inevitable	general
百	ヒャク ・ ビャク ・ もも	hundred	general
票	ヒョウ	ballot; label; ticket; sign	general
表	ヒョウ ・ おもて ・ -おもて ・ あらわす ・ あらわれる ・ あらわす	surface; table; chart; diagram	general
評	ヒョウ	evaluate; criticism; comment	general
病	ビョウ ・ ヘイ ・ やむ ・ -やみ ・ やまい	ill; sick	general
品	ヒン ・ ホン ・ しな	goods; refinement; dignity; article; counter for meal courses	general
白	ハク ・ ビャク ・ しろ ・ しら- ・ しろい	white	general
売	バイ ・ うる ・ うれる	sell	general
南	ナン ・ ナ ・ みなみ	south	general
難	ナン ・ かたい ・ -がたい ・ むずかしい ・ むづかしい ・ むつかしい ・ -にくい	difficult; impossible; trouble; accident; defect	general
二	ニ ・ ジ ・ ふた ・ ふたつ ・ ふたたび	two; two radical (no.2)	general
日	ニチ ・ ジツ ・ ひ ・ -び ・ -か	day; sun; Japan; counter for days	general
入	ニュウ ・ ジュ ・ いる ・ -いる ・ -いり ・ いれる ・ -いれ ・ はいる	enter; insert	general
任	ニン ・ まかせる ・ まかす	responsibility; duty; term; entrust to; appoint	general
認	ニン ・ みとめる ・ したためる	acknowledge; witness; discern; recognize; appreciate; believe	general
年	ネン ・ とし	year; counter for years	general
念	ネン	wish; sense; idea; thought; feeling; desire; attention	general
能	ノウ ・ よく	ability; talent; skill; capacity	general
脳	ノウ ・ ドウ ・ のうずる	brain; memory	general
農	ノウ	agriculture; farmers	general
派	ハ	faction; group; party; clique; sect; school	general
配	ハイ ・ くばる	distribute; spouse; exile; rationing	general
頭	トウ ・ ズ ・ ト ・ あたま ・ かしら ・ -がしら ・ かぶり	head; counter for large animals	general
働	ドウ ・ リュク ・ リキ ・ ロク ・ リョク ・ はたらく	work; (kokuji)	general
動	ドウ ・ うごく ・ うごかす	move; motion; change; confusion; shift; shake	general
同	ドウ ・ おなじ	same; agree; equal	general
導	ドウ ・ みちびく	guidance; leading; conduct; usher	general
道	ドウ ・ トウ ・ みち	road-way; street; district; journey; course; moral; teachings	general
得	トク ・ える ・ うる	gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit	general
特	トク	special	general
独	ドク ・ トク ・ ひとり	single; alone; spontaneously; Germany	general
内	ナイ ・ ダイ ・ うち	inside; within; between; among; house; home	general
土	ド ・ ト ・ つち	soil; earth; ground; Turkey	general
党	トウ ・ なかま ・ むら	party; faction; clique	general
島	トウ ・ しま	island	general
投	トウ ・ なげる ・ -なげ	throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss	general
東	トウ ・ ひがし	east	general
当	トウ ・ あたる ・ あたり ・ あてる ・ あて ・ まさに ・ まさにべし	hit; right; appropriate; himself	general
答	トウ ・ こたえる ・ こたえ	solution; answer	general
統	トウ ・ すべる ・ ほびる	overall; relationship; ruling; governing	general
藤	トウ ・ ドウ ・ ふじ	wisteria	general
度	ド ・ ト ・ タク ・ たび ・ -たい	degrees; occurrence; time; counter for occurrences	general
渡	ト ・ わたる ・ -わたる ・ わたす	transit; ford; ferry; cross; import; deliver; diameter; migrate	general
都	ト ・ ツ ・ みやこ	metropolis; capital	general
張	チョウ ・ はる ・ -はり ・ -ばり	lengthen; counter for bows & stringed instruments; stretch; spread; put up (tent)	general
朝	チョウ ・ あさ	morning; dynasty; regime; epoch; period; (North) Korea	general
町	チョウ ・ まち	town; village; block; street	general
調	チョウ ・ しらべる ・ しらべ ・ ととのう ・ ととのえる	tune; tone; meter; key (music); writing style; prepare; exorcise; investigate	general
長	チョウ ・ ながい ・ おさ	long; leader	general
直	チョク ・ ジキ ・ ジカ ・ ただちに ・ なおす ・ -なおす ・ なおる ・ なおき ・ すぐ	straightaway; honesty; frankness; fix; repair	general
追	ツイ ・ おう	chase; drive away; follow; pursue; meanwhile	general
通	ツウ ・ ツ ・ とおる ・ とおり ・ -とおり ・ -どおり ・ とおす ・ とおし ・ -どおし ・ かよう	traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.	general
低	テイ ・ ひくい ・ ひくめる ・ ひくまる	lower; short; humble	general
定	テイ ・ ジョウ ・ さだめる ・ さだまる ・ さだか	determine; fix; establish; decide	general
提	テイ ・ チョウ ・ ダイ ・ さげる	propose; take along; carry in hand	general
