渕	エン ・ カク ・ コウ ・ ふち ・ かたい ・ はなわ	edge	general
煕	キ ・ たのしむ ・ ひかる ・ ひろい ・ よろこぶ ・ かわく ・ あきらか ・ ひろめる ・ ひろまる	shine	general
盧	ロ	hut	general
零	レイ ・ ぜろ ・ こぼす ・ こぼれる	zero; spill; overflow; nothing; cipher	general
霊	レイ ・ リョウ ・ たま	spirits; soul	general
烈	レツ ・ はげしい	ardent; violent; vehement; furious; severe; extreme	general
裂	レツ ・ さく ・ さける ・ -ぎれ	split; rend; tear	general
恋	レン ・ こう ・ こい ・ こいしい	romance; in love; yearn for; miss; darling	general
炉	ロ ・ いろり	hearth; furnace; kiln; reactor	general
朗	ロウ ・ ほがらか ・ あきらか	melodious; clear; bright; serene; cheerful	general
漏	ロウ ・ もる ・ もれる ・ もらす	leak; escape; time	general
賄	ワイ ・ まかなう	bribe; board; supply; finance	general
腕	ワン ・ うで	arm; ability; talent	general
糧	リョウ ・ ロウ ・ かて	provisions; food; bread	general
緑	リョク ・ ロク ・ みどり	green	general
倫	リン	ethics; companion	general
隣	リン ・ となる ・ となり	neighboring	general
涙	ルイ ・ レイ ・ なみだ	tears; sympathy	general
励	レイ ・ はげむ ・ はげます	encourage; be diligent; inspire	general
礼	レイ ・ ライ	salute; bow; ceremony; thanks; remuneration	general
踊	ヨウ ・ おどる	jump; dance; leap; skip	general
陽	ヨウ ・ ひ	sunshine; yang principle; positive; male; heaven; daytime	general
浴	ヨク ・ あびる ・ あびせる	bathe; be favored with; bask in	general
翌	ヨク	the following; next	general
翼	ヨク ・ つばさ	wing; plane; flank	general
雷	ライ ・ かみなり ・ いかずち ・ いかづち	thunder; lightning bolt	general
卵	ラン ・ たまご	egg; ovum; spawn; roe	general
李	リ ・ すもも	plum	general
梨	リ ・ なし	pear tree	general
里	リ ・ さと	ri; village; parent's home; league	general
隆	リュウ	hump; high; noble; prosperity	general
竜	リュウ ・ リョウ ・ ロウ ・ たつ ・ いせ	dragon; imperial	general
誉	ヨ ・ ほまれ ・ ほめる	reputation; praise; honor; glory	general
幼	ヨウ ・ おさない	infancy; childhood	general
揚	ヨウ ・ あげる ・ -あげ ・ あがる	hoist; fry in deep fat	general
揺	ヨウ ・ ゆれる ・ ゆる ・ ゆらぐ ・ ゆるぐ ・ ゆする ・ ゆさぶる ・ ゆすぶる ・ うごく	swing; shake; sway; rock; tremble; vibrate	general
擁	ヨウ	hug; embrace; possess; protect; lead	general
溶	ヨウ ・ とける ・ とかす ・ とく	melt; dissolve; thaw	general
裕	ユウ	abundant; rich; fertile	general
諭	ユ ・ さとす	rebuke; admonish; charge; warn; persuade	general
唯	ユイ ・ イ ・ ただ	solely; only; merely; simply	general
勇	ユウ ・ いさむ	courage; cheer up; be in high spirits; bravery; heroism	general
柳	リュウ ・ やなぎ	willow	general
訳	ヤク ・ わけ	translate; reason; circumstance; case	general
靖	セイ ・ ジョウ ・ やすんじる	peaceful	general
黙	モク ・ ボク ・ だまる ・ もだす	silence; become silent; stop speaking; leave as is	general
也	ヤ ・ エ ・ なり ・ か ・ また	to be (classical)	general
矢	シ ・ や	dart; arrow	general
毛	モウ ・ け	fur; hair; feather; down	general
猛	モウ	fierce; rave; rush; become furious; wildness; strength	general
網	モウ ・ あみ	netting; network	general
娘	ジョウ ・ むすめ ・ こ	daughter; girl	general
銘	メイ	inscription; signature (of artisan)	general
鳴	メイ ・ なく ・ なる ・ ならす	chirp; cry; bark; sound; ring; echo; honk	general
滅	メツ ・ ほろびる ・ ほろぶ ・ ほろぼす	destroy; ruin; overthrow; perish	general
免	メン ・ まぬかれる ・ まぬがれる	excuse; dismissal	general
綿	メン ・ わた	cotton	general
茂	モ ・ しげる	overgrown; grow thick; be luxuriant	general
漫	マン ・ みがりに	cartoon; involuntarily; in spite of oneself; corrupt	general
魅	ミ	fascination; charm; bewitch	general
脈	ミャク ・ すじ	vein; pulse; hope	general
妙	ミョウ ・ ビョウ ・ たえ	exquisite; strange; queer; mystery; miracle; excellent; delicate; charming	general
眠	ミン ・ ねむる ・ ねむい	sleep; die; sleepy	general
慢	マン	ridicule; laziness	general
墓	ボ ・ はか	grave; tomb	general
簿	ボ	register; record book	general
宝	ホウ ・ たから	treasure; wealth; valuables	general
砲	ホウ	cannon; gun	general
胞	ホウ	placenta; sac; sheath	general
芳	ホウ ・ かんばしい	perfume; balmy; flavorable; fragrant	general
妨	ボウ ・ さまたげる	disturb; prevent; hamper; obstruct	general
