趙	チョウ ・ ジョウ ・ キョウ	nimble; late-going	general
翔	ショウ ・ かける ・ とぶ	soar; fly	general
麗	レイ ・ うるわしい ・ うららか	lovely; beautiful; graceful; resplendent	general
暦	レキ ・ こよみ ・ りゃく	calendar; almanac	general
劣	レツ ・ おとる	inferiority; be inferior to; be worse	general
聯	レン ・ つらなる ・ つらねる	party; gang; clique	general
蓮	レン ・ はす ・ はちす	lotus	general
廊	ロウ	corridor; hall; tower	general
浪	ロウ	wandering; waves; billows	general
脇	キョウ ・ わき ・ わけ	armpit; the other way; another place; flank; supporting role	general
鷲	シュウ ・ ジュ	eagle	general
亘	コウ ・ カン ・ わたる ・ もとめる	span; request	general
姜	キョウ ・ ガ ・ こう	Chinese surname; ginger	general
嶌	トウ ・ しま	island	general
崔	ガイ ・ サイ ・ スイ ・ がけ	cliff; bluff; precipice	general
陵	リョウ ・ みささぎ	mausoleum; imperial tomb	general
厘	リン	rin; 1/10sen; 1/10bu	general
累	ルイ	accumulate; involvement; trouble; tie up; continually	general
嶺	レイ ・ リョウ	peak; summit	general
玲	レイ	sound of jewels	general
謡	ヨウ ・ うたい ・ うたう	noh chanting	general
淀	テン ・ デン ・ よどむ	pool; eddy	general
羅	ラ ・ うすもの	gauze; thin silk; Rome	general
裸	ラ ・ はだか	naked; nude; uncovered; partially clothed	general
嵐	ラン ・ あらし	storm; tempest	general
欄	ラン ・ てすり	column; handrail; blank; space	general
蘭	ラン ・ ラ	orchid; Holland	general
覧	ラン ・ みる	perusal; see	general
履	リ ・ はく	footgear; shoes; boots; put on (the feet	general
劉	リュウ ・ ル ・ ころす	weapon of war; logging axe; kill en masse; peeling (paint off a wall, etc); sparse; faded	general
硫	リュウ	sulphur	general
粒	リュウ ・ つぶ	grains; drop; counter for tiny particles	general
龍	リュウ ・ リョウ ・ ロウ ・ たつ	dragon; imperial	general
虜	リョ ・ ロ ・ とりこ ・ とりく	captive; barbarian; low epithet for the enemy	general
亮	リョウ ・ あきらか	clear; help	general
寮	リョウ	dormitory; hostel; villa; tea pavillion	general
涼	リョウ ・ すずしい ・ すずむ ・ すずやか ・ うすい ・ ひやす ・ まことに	refreshing; nice and cool	general
猟	リョウ ・ レフ ・ かり ・ かる	game-hunting; shooting; game; bag	general
羊	ヨウ ・ ひつじ	sheep	general
妖	ヨウ ・ あやしい ・ なまめく ・ わざわい	attractive; bewitching; calamity	general
楊	ヨウ ・ かわ ・ やなぎ	willow	general
祐	ユウ ・ ウ ・ たすける	help	general
悠	ユウ	permanence; distant; long time; leisure	general
憂	ユウ ・ うれえる ・ うれい ・ うい ・ うき	melancholy; grieve; lament; be anxious; sad; unhappy	general
猶	ユウ ・ ユ ・ なお	furthermore; still; yet	general
癒	ユ ・ いえる ・ いやす	healing; cure; quench (thirst); wreak	general
幽	ユウ ・ ヨウ ・ ふかい ・ かすか ・ くらい ・ しろい	seclude; confine to a room; deep; profound; secluded; faint; dark; tranquil; calm	general
愉	ユ ・ たのしい ・ たのしむ	pleasure; happy; rejoice	general
紋	モン	family crest; figures	general
弥	ミ ・ ビ ・ いや ・ や ・ あまねし ・ いよいよ ・ とおい ・ ひさし ・ ひさしい ・ わたる	all the more; increasingly	general
盲	モウ ・ めくら	blind; blind man; ignoramus	general
岬	コウ ・ みさき	headland; cape; spit; promontory	general
稔	ネン ・ ジン ・ ニン ・ みのる ・ みのり	harvest; ripen	general
矛	ム ・ ボウ ・ ほこ	halberd; arms; festival float	general
霧	ム ・ ボウ ・ ブ ・ きり	fog; mist	general
槙	テン ・ シン ・ まき ・ こずえ	twig; ornamental evergreen	general
膜	マク	membrane	general
俣	また	crotch; thigh; groin; (kokuji)	general
又	ユウ ・ また ・ また- ・ またの-	or again; furthermore; on the other hand	general
輔	ホ ・ フ ・ たすける	help	general
穂	スイ ・ ほ	ear; ear (grain); head; crest (wave)	general
俸	ホウ	stipend; salary	general
呆	ホウ ・ ほける ・ ぼける ・ あきれる ・ おろか	be amazed; disgusted; shocked	general
奉	ホウ ・ ブ ・ たてまつる ・ まつる ・ ほうずる	observance; offer; present; dedicate	general
峰	ホウ ・ みね ・ ね	summit; peak	general
泡	ホウ ・ あわ	bubbles; foam; suds; froth	general
縫	ホウ ・ ぬう	sew; stitch; embroider	general
飽	ホウ ・ あきる ・ あかす ・ あく	sated; tired of; bored; satiate	general
鵬	ホウ ・ おおとり	phoenix	general
乏	ボウ ・ とぼしい ・ ともしい	destitution; scarce; limited	general
傍	ボウ ・ かたわら ・ わき ・ おか- ・ はた ・ そば	bystander; side; besides; while; nearby; 3rd person	general
剖	ボウ	divide	general
坊	ボウ ・ ボッ	boy; priest's residence; priest	general
帽	ボウ ・ モウ ・ ずきん ・ おおう	cap; headgear	general
紡	ボウ ・ つむぐ	spinning	general
肪	ボウ	obese; fat	general
墨	ボク ・ すみ	black ink; India ink; ink stick; Mexico	general
