襄	ジョウ ・ ショウ ・ はらう	rise; raise	general
訃	フ ・ しらせ	obituary	general
謳	オウ ・ ウ ・ うたう	extol; declare; express	general
贅	セイ ・ いぼ	luxury	general
赳	キュウ	strong and brave	general
鄒	スウ ・ シュ ・ シュウ	place name	general
銕	テツ ・ くろがね	iron; strong; solid; firm	general
鍼	シン ・ はり ・ さす	needle	general
闊	カツ ・ ひろい	wide	general
魏	ギ ・ たかい	high; large	general
鴈	ガン ・ かり ・ かりがね	wild goose	general
黎	レイ ・ リ ・ くろい	dark; black; many	general
茗	ミョウ ・ メイ ・ ちゃ	tea	general
萬	マン ・ バン ・ よろず	10000	general
蔡	サイ	type of tortoise used for divination	general
蓼	シン ・ リク ・ リョウ ・ たで	luxurious grass; a smartweed	general
薔	バ ・ ショウ ・ ショク ・ ソウ ・ みずたで	a kind of grass	general
藏	ゾウ ・ ソウ ・ くら ・ おさめる ・ かくれる	hide; own; have; possess	general
藝	ゲイ ・ ウン ・ うえる ・ のり ・ わざ	art; craft; performance; acting; trick; stunt	general
蜷	ケン ・ にな	an edible river snail	general
袁	エン ・ オン	long kimono	general
恣	シ ・ ほしいまま	selfish; arbitrary	general
惧	ク ・ おそれる	fear; be afraid of; dread	general
抒	ジョ ・ ショ ・ くむ ・ のべる	tell; 10**24	general
搜	ソウ ・ シュ ・ シュウ ・ さがす	search; seek; investigate	general
摯	シ ・ いたる	gift; seriousness	general
旛	ヘン ・ ハン ・ はた	flag	general
暉	キ ・ かがやく	shine; light	general
杞	コ ・ キ	river willow	general
檜	カイ ・ ひのき ・ ひ	Japanese cypress	general
檄	ケキ ・ げきする ・ ふれぶみ	written appeal; manifesto	general
毬	キュウ ・ いが ・ まり	burr; ball	general
汪	オウ	flowing full; expanse of water; wide; deep	general
洸	コウ	sparkling water	general
洒	シャ ・ ソン ・ サイ ・ セン ・ セイ ・ すすぐ ・ あらう	wash; sprinkle	general
浙	セツ	name of a Chinese river	general
溥	フ ・ ハク ・ あまねし	far and wide	general
漱	ソウ ・ シュウ ・ ス ・ くちすすぐ ・ くちそそぐ ・ うがい ・ すすぐ	gargle; rinse mouth	general
澤	タク ・ さわ ・ うるおい ・ うるおす ・ つや	swamp	general
瀋	シン	juice; broth	general
炒	ソウ ・ ショウ ・ いる ・ いためる	broil; parch; roast; fry	general
焉	エン ・ いずくんぞ ・ ここに ・ これ	how; why; then	general
煥	カン ・ あきらか	shine	general
甕	オウ ・ かめ ・ みか	jar; jug; vat	general
甦	ソ ・ コウ ・ よみがえる	be resuscitated; revived	general
瘤	リュウ ・ ル ・ こぶ	lump; swelling	general
皓	コウ ・ しろい ・ ひかる	white; clear	general
眞	シン ・ ま ・ まこと	truth; reality; Buddhist sect	general
瞑	メイ ・ ベン ・ ミョウ ・ ミン ・ メン ・ めいする ・ つぶる ・ つむる ・ くらい	sleep; dark; close eyes	general
礒	ギ ・ ガ ・ いそ ・ いわお	rock; beach; shore	general
笏	コツ ・ しゃく	mace; baton; scepter	general
笘	セン ・ チョウ	whip; cane; wooden writing slate	general
箏	ソウ ・ ショウ ・ こと	a koto	general
篆	テン	seal-style characters	general
