count;word;hiragana;meaning;jlpt level
230;靴;くつ;5
231;靴下;くつした;5
232;国;くに;5
233;曇り;くもり;5
234;暗い;くらい;5
235;くらい;くらい;5
236;クラス;くらす;5
237;来る;くる;5
238;車;くるま;5
239;呉れる;くれる;5
240;黒;くろ;5
241;黒い;くろい;5
242;ぐらい;ぐらい;5
243;グラム;ぐらむ;5
244;警官;けいかん;5
245;鶏肉;けいにく;5
246;今朝;けさ;5
247;消す;けす;5
248;結構;けっこう;5
249;結婚;けっこん;5
250;月曜日;げつようび;5
251;玄関;げんかん;5
252;元気;げんき;5
253;個;こ;5
254;公園;こうえん;5
255;交差点;こうさてん;5
256;紅茶;こうちゃ;5
257;交番;こうばん;5
258;声;こえ;5
259;此処;ここ;5
260;九日;ここのか;5
261;九つ;ここのつ;5
262;答える;こたえる;5
263;此方;こちら;5
264;此方;こっち;5
265;コップ;こっぷ;5
266;事;こと;5
267;今年;ことし;5
268;言葉;ことば;5
269;子供;こども;5
270;此の;この;5
271;困る;こまる;5
272;此れ;これ;5
273;頃;ころ;5
274;今月;こんげつ;5
275;今週;こんしゅう;5
276;こんな;こんな;5
277;今晩;こんばん;5
278;今晩は;こんばんは;5
279;コート;こーと;5
280;五;ご;5
281;語;ご;5
282;午後;ごご;5
283;ご主人;ごしゅじん;5
284;午前;ごぜん;5
285;ご飯;ごはん;5
286;頃;ごろ;5
287;さあ;さあ;5
288;歳;さい;5
289;財布;さいふ;5
290;魚;さかな;5
291;先;さき;5
292;咲く;さく;5
293;作文;さくぶん;5
294;酒;さけ;5
295;冊;さつ;5
296;砂糖;さとう;5
297;寒い;さむい;5
298;皿;さら;5
299;再来年;さらいねん;5
300;さん;さん;5
301;三;さん;5
302;山;さん;5
303;雑誌;ざっし;5
304;四;し;5
305;塩;しお;5
306;併し;しかし;5
307;仕事;しごと;5
308;静か;しずか;5
309;下;した;5
310;七;しち;5
311;質問;しつもん;5
312;死ぬ;しぬ;5
313;閉まる;しまる;5
314;締める;しめる;5
315;閉める;しめる;5
316;写真;しゃしん;5
317;シャツ;しゃつ;5
318;シャワー;しゃわー;5
319;週間;しゅうかん;5
320;宿題;しゅくだい;5
321;醤油;しょうゆ;5
322;食堂;しょくどう;5
323;知る;しる;5
324;白;しろ;5
325;白い;しろい;5
326;新聞;しんぶん;5
327;時;じ;5
328;時間;じかん;5
329;辞書;じしょ;5
330;自転車;じてんしゃ;5
331;自動車;じどうしゃ;5
332;自分;じぶん;5
333;じゃ;じゃ;5
334;じゃあ;じゃあ;5
335;十;じゅう;5
336;授業;じゅぎょう;5
337;上手;じょうず;5
338;丈夫;じょうぶ;5
339;人;じん;5
340;水曜日;すいようび;5
341;吸う;すう;5
342;スカート;すかーと;5
343;好き;すき;5
344;過ぎ;すぎ;5
345;少ない;すくない;5
346;直ぐに;すぐに;5
347;少し;すこし;5
348;涼しい;すずしい;5
349;ストーブ;すとーぶ;5
350;スプーン;すぷーん;5
351;スポーツ;すぽーつ;5
352;住む;すむ;5
353;スリッパ;すりっぱ;5
354;為る;する;5
355;座る;すわる;5
356;ずつ;ずつ;5
357;ズボン;ずぼん;5
358;生徒;せいと;5
359;背が高い;せがたかい;5
360;背が低い;せがひくい;5
361;石鹸;せっけん;5
362;背の高い;せのたかい;5
363;背広;せびろ;5
364;狭い;せまい;5
365;千;せん;5
366;先月;せんげつ;5
367;先週;せんしゅう;5
368;先生;せんせい;5
369;洗濯;せんたく;5
370;セーター;せーたー;5
371;ゼロ;ぜろ;5
372;全部;ぜんぶ;5
373;そう;そう;5
374;掃除;そうじ;5
375;其処;そこ;5
376;然して;そして;5
377;其方;そちら;5
378;其方;そっち;5
379;外;そと;5
380;其の;その;5
381;空;そら;5
382;其れ;それ;5
383;其れから;それから;5
384;其れでは;それでは;5
385;そんな;そんな;5
386;大使館;たいしかん;5
387;大切;たいせつ;5
388;大変;たいへん;5
389;高い;たかい;5
390;沢山;たくさん;5
391;タクシー;たくしー;5
392;達;たち;5
393;立つ;たつ;5
394;建物;たてもの;5
395;楽しい;たのしい;5
396;頼む;たのむ;5
397;煙草;たばこ;5
398;多分;たぶん;5
399;食べ物;たべもの;5
400;食べる;たべる;5
401;卵;たまご;5
402;誕生日;たんじょうび;5
403;だ;だ;5
404;大学;だいがく;5
405;大丈夫;だいじょうぶ;5
406;大好き;だいすき;5
407;台所;だいどころ;5
408;丈;だけ;5
409;出す;だす;5
410;誰;だれ;5
411;段々;だんだん;5
412;小さい;ちいさい;5
413;小さな;ちいさな;5
414;近い;ちかい;5
415;近く;ちかく;5
416;地下鉄;ちかてつ;5
417;違う;ちがう;5
418;地図;ちず;5
419;父;ちち;5
420;茶色;ちゃいろ;5
421;丁度;ちょうど;5
422;一寸;ちょっと;5
423;一日;ついたち;5
424;使う;つかう;5
425;疲れる;つかれる;5
426;月;つき;5
427;次;つぎ;5
428;着く;つく;5
429;机;つくえ;5
430;作る;つくる;5
431;点ける;つける;5
432;勤める;つとめる;5
433;詰らない;つまらない;5
434;冷たい;つめたい;5
435;強い;つよい;5
436;辛い;つらい;5
437;手;て;5
438;手紙;てがみ;5
439;テスト;てすと;5
440;テレビ;てれび;5
441;天気;てんき;5
442;テーブル;てーぶる;5
443;テープ;てーぷ;5
444;テープレコーダー;てーぷれこーだー;5
445;で;で;5
446;出かける;でかける;5
447;出来る;できる;5
448;出口;でぐち;5
449;です;です;5
450;では;では;5
451;デパート;でぱーと;5
452;でも;でも;5
453;出る;でる;5
454;電気;でんき;5
455;電車;でんしゃ;5
456;電話;でんわ;5
457;戸;と;5
458;と;と;5
459;トイレ;といれ;5
460;父さん;とうさん;5
461;遠い;とおい;5
462;十日;とおか;5
463;時;とき;5
464;時々;ときどき;5
465;時計;とけい;5
466;所;ところ;5
467;年;とし;5
468;図書館;としょかん;5
469;迚も;とても;5
470;隣;となり;5
471;飛ぶ;とぶ;5
472;止まる;とまる;5
473;友達;ともだち;5
474;鳥;とり;5
475;撮る;とる;5
476;取る;とる;5
477;度;ど;5
478;ドア;どあ;5
479;如何;どう;5
480;如何して;どうして;5
481;どうぞ;どうぞ;5
482;動物;どうぶつ;5
483;どうも;どうも;5
484;何処;どこ;5
485;何方;どちら;5
486;何方;どっち;5
487;何方;どなた;5
488;何の;どの;5
489;土曜日;どようび;5
490;何れ;どれ;5
491;どんな;どんな;5
492;無い;ない;5
493;ナイフ;ないふ;5
494;中;なか;5
495;長い;ながい;5
496;鳴く;なく;5
497;無くす;なくす;5
498;何故;なぜ;5
499;夏;なつ;5
500;夏休み;なつやすみ;5
501;等;など;5
502;七;なな;5
503;七つ;ななつ;5
504;何;なに;5
505;七日;なのか;5
506;名前;なまえ;5
507;習う;ならう;5
508;並ぶ;ならぶ;5
509;並べる;ならべる;5
510;成る;なる;5
511;何;なん;5
512;二;に;5
513;に;に;5
514;兄さん;にいさん;5
515;賑やか;にぎやか;5
516;肉;にく;5
517;西;にし;5
518;日;にち;5
519;日曜日;にちようび;5
520;日本;にほん;5
521;日本語;にほんご;5
522;荷物;にもつ;5
523;ニュース;にゅーす;5
524;庭;にわ;5
525;人;にん;5
526;脱ぐ;ぬぐ;5
527;姉さん;ねえさん;5
528;ネクタイ;ねくたい;5
529;猫;ねこ;5
530;寝る;ねる;5
531;年;ねん;5
532;乃;の;5
533;登る;のぼる;5
534;飲み物;のみもの;5
535;飲む;のむ;5
536;乗る;のる;5
537;ノート;のーと;5
538;歯;は;5
539;は;は;5
540;はい;はい;5
541;灰皿;はいざら;5
542;入る;はいる;5
543;葉書;はがき;5
544;箱;はこ;5
545;箸;はし;5
546;橋;はし;5
547;走る;はしる;5
548;始まる;はじまる;5
549;始め;はじめ;5
550;初めて;はじめて;5
551;初めに;はじめに;5
552;二十歳;はたち;5
553;働く;はたらく;5
554;八;はち;5
555;二十日;はつか;5
556;鼻;はな;5
557;花;はな;5
558;話;はなし;5
559;話す;はなす;5
560;母;はは;5
561;速い;はやい;5
562;早い;はやい;5
563;貼る;はる;5
564;春;はる;5
565;晴れ;はれ;5
566;晴れる;はれる;5
567;半;はん;5
568;ハンカチ;はんかち;5
569;半分;はんぶん;5
570;バス;ばす;5
571;バター;ばたー;5
572;晩;ばん;5
573;番;ばん;5
574;番号;ばんごう;5
575;晩ご飯;ばんごはん;5
576;パン;ぱん;5
577;パーティー;ぱーてぃー;5
578;東;ひがし;5
579;匹;ひき;5
580;弾く;ひく;5
581;引く;ひく;5
582;低い;ひくい;5
583;飛行機;ひこうき;5
584;左;ひだり;5
585;必要;ひつよう;5
586;人;ひと;5
587;一つ;ひとつ;5
588;ひと月;ひとつき;5
589;一人;ひとり;5
590;暇;ひま;5
591;百;ひゃく;5
592;平仮名;ひらがな;5
593;昼;ひる;5
594;昼ご飯;ひるごはん;5
595;広い;ひろい;5
596;病院;びょういん;5
597;病気;びょうき;5
598;フィルム;ふぃるむ;5
599;封筒;ふうとう;5
600;フォーク;ふぉーく;5
601;吹く;ふく;5
602;服;ふく;5
603;二つ;ふたつ;5
604;二人;ふたり;5
605;二日;ふつか;5
606;太い;ふとい;5
607;冬;ふゆ;5
608;降る;ふる;5
609;古い;ふるい;5
610;風呂;ふろ;5
611;分;ふん;5
612;豚肉;ぶたにく;5
613;文章;ぶんしょう;5
614;プール;ぷーる;5
615;へ;へ;5
616;下手;へた;5
617;部屋;へや;5
618;辺;へん;5
619;ベッド;べっど;5
620;勉強;べんきょう;5
621;弁当;べんとう;5
622;便利;べんり;5
623;ペン;ぺん;5
624;方;ほう;5
625;外;ほか;5
626;欲しい;ほしい;5
627;欲しがる;ほしがる;5
628;細い;ほそい;5
629;ホテル;ほてる;5
