Order,id,kanji_name,kanji_meaning,strokes,grade,newspaper_frequency,jlpt_level,jinmeiyo,twitter_frequency,aozora_frequency,wikipedia_frequency,news_frequency,sum,missing_column,# strokes bonus,TOTAL SCORE,top 100,,top 100 bonus,Not Jouyou Penalty
3071,49742,殷,,,,,,0,2984,3512,2685,3459,9955,no,0,12955,,,,3000
3072,49202,翳,,,,,,0,3927,2518,3634,3513,9958,no,0,12958,,,,3000
3073,2657,碩,large,,,,1,1,3660,3534,2759,2775,9969,no,0,12969,,,,3000
3074,49490,箭,,,,,,0,4097,3128,3257,2748,9973,no,0,12973,,,,3000
3075,49900,廠,,,,,,0,3750,3723,2085,2501,9974,no,0,12974,,,,3000
3076,49890,毯,,,,,,0,3037,3711,3352,3228,9976,no,0,12976,,,,3000
3077,49671,坤,,,,,,0,3738,3406,3252,2838,9982,no,0,12982,,,,3000
3078,3144,托,requesting,,,,,1,4362,2387,3240,3241,9990,no,0,12990,,,,3000
3079,49389,嗤,,,,,,0,3406,2959,4306,3629,9994,no,0,12994,,,,3000
3080,49866,杢,,,,,,0,3360,3681,3530,2957,9998,no,0,12998,,,,3000
3081,50557,冲,,,,,,0,2356,4501,3096,3143,10000,no,0,13000,,,,3000
3082,50230,彿,,,,,,0,2694,4122,3102,3189,10005,no,0,13005,,,,3000
3083,2682,蕗,butterbur,,,,1,1,3478,3015,3603,3525,10018,no,0,13018,,,,3000
3084,2656,伶,actor,,,,1,1,2758,4464,3527,2797,10019,no,0,13019,,,,3000
3085,49514,嘯,,,,,,0,3232,3174,3811,3622,10028,no,0,13028,,,,3000
3086,3116,竺,bamboo,,,,,1,3104,3301,2851,3628,10033,no,0,13033,,,,3000
3087,50181,痍,,,,,,0,2886,4065,3667,3085,10036,no,0,13036,,,,3000
3088,49892,聰,,,,,,0,3656,3713,2742,2685,10054,no,0,13054,,,,3000
3089,49733,詭,,,,,,0,3100,3501,3620,3458,10059,no,0,13059,,,,3000
3090,50056,烙,,,,,,0,3369,3918,3395,2774,10061,no,0,13061,,,,3000
3091,49878,僭,,,,,,0,3117,3696,3176,3253,10066,no,0,13066,,,,3000
3092,3042,斡,go around,,,,,1,3276,3839,2887,2953,10068,no,0,13068,,,,3000
3093,50506,乖,,,,,,0,2831,4439,3254,2798,10068,no,0,13068,,,,3000
3094,50005,穹,,,,,,0,3472,3857,3109,2740,10069,no,0,13069,,,,3000
3095,49578,漉,,,,,,0,4082,3273,3519,2716,10071,no,0,13071,,,,3000
3096,49746,鋪,,,,,,0,3357,3519,3491,3198,10074,no,0,13074,,,,3000
3097,49548,襷,,,,,,0,3568,3227,3724,3282,10077,no,0,13077,,,,3000
3098,49735,趨,,,,,,0,3381,3504,3666,3194,10079,no,0,13079,,,,3000
3099,49545,躰,,,,,,0,3713,3224,3453,3153,10090,no,0,13090,,,,3000
3100,49322,寥,,,,,,0,3845,2814,4884,3443,10102,no,0,13102,,,,3000
3101,2663,竣,end,,,,1,1,3300,4238,1436,2572,10110,no,0,13110,,,,3000
3102,50826,磋,,,,,,0,2800,4790,3971,2527,10117,no,0,13117,,,,3000
3103,49745,稗,,,,,,0,3195,3517,3038,3414,10126,no,0,13126,,,,3000
3104,50094,蜃,,,,,,0,3163,3965,3114,3002,10130,no,0,13130,,,,3000
3105,49974,棍,,,,,,0,3004,3819,3017,3310,10133,no,0,13133,,,,3000
3106,49508,葭,,,,,,0,3936,3160,3594,3044,10140,no,0,13140,,,,3000
3107,2372,偕,together,,,2080,,0,3125,4254,2666,2766,10145,no,0,13145,,,,3000
3108,49541,饉,,,,,,0,3838,3218,2798,3092,10148,no,0,13148,,,,3000
3109,49835,楡,,,,,,0,3190,3645,3094,3319,10154,no,0,13154,,,,3000
3110,2667,頌,eulogy,,,,1,1,3431,3416,2969,3308,10155,no,0,13155,,,,3000
3111,50014,鎚,,,,,,0,3220,3866,3333,3076,10162,no,0,13162,,,,3000
3112,49465,飄,,,,,,0,3570,3086,3364,3506,10162,no,0,13162,,,,3000
3113,2327,暉,shine,,,2028,1,1,2858,4849,2944,2456,10163,no,0,13163,,,,3000
3114,2974,娩,bear (children),,,,,1,3071,4224,3438,2872,10167,no,0,13167,,,,3000
3115,49475,谿,,,,,,0,3725,3104,3753,3346,10175,no,0,13175,,,,3000
3116,50263,塘,,,,,,0,3481,4161,2721,2541,10183,no,0,13183,,,,3000
3117,2695,勁,strong,,,,1,1,3320,3611,2561,3254,10185,no,0,13185,,,,3000
3118,49811,蛤,,,,,,0,2960,3612,3734,3615,10187,no,0,13187,,,,3000
3119,49619,碍,,,,,,0,3347,3329,3338,3514,10190,no,0,13190,,,,3000
3120,49382,呵,,,,,,0,3945,2949,3781,3306,10200,no,0,13200,,,,3000
3121,49492,翅,,,,,,0,3496,3133,2439,3577,10206,no,0,13206,,,,3000
3122,49961,莢,,,,,,0,3420,3803,2974,2984,10207,no,0,13207,,,,3000
3123,49879,訶,,,,,,0,2997,3697,3189,3521,10215,no,0,13215,,,,3000
3124,49504,蕭,,,,,,0,4297,3156,2358,2765,10218,no,0,13218,,,,3000
3125,2349,礒,rock,,,2050,,0,3243,4791,3405,2187,10221,no,0,13221,,,,3000
3126,2435,蕃,grow luxuriously,,,2177,,1,3848,2834,2659,3555,10237,no,0,13237,,,,3000
3127,2664,晨,morning,,,,1,1,3286,4020,3274,2931,10237,no,0,13237,,,,3000
3128,49833,扈,,,,,,0,3259,3640,3732,3345,10244,no,0,13244,,,,3000
3129,50171,姨,,,,,,0,3000,4054,3926,3192,10246,no,0,13246,,,,3000
3130,50162,婁,,,,,,0,2672,4044,2541,3538,10254,no,0,13254,,,,3000
3131,49825,趾,,,,,,0,3020,3629,3020,3611,10260,no,0,13260,,,,3000
3132,2699,紬,pongee (a knotted silk cloth),,,,1,1,2971,3978,3445,3317,10266,no,0,13266,,,,3000
3133,50137,鐙,,,,,,0,3470,4014,3704,2795,10279,no,0,13279,,,,3000
3134,49809,槃,,,,,,0,3957,3608,3011,2729,10294,no,0,13294,,,,3000
3135,49816,盞,,,,,,0,3241,3617,3430,3438,10296,no,0,13296,,,,3000
3136,50830,拮,,,,,,0,3215,4795,3075,2292,10302,no,0,13302,,,,3000
3137,50904,疽,,,,,,0,3173,4874,3586,2258,10305,no,0,13305,,,,3000
3138,49854,贖,,,,,,0,3457,3668,3115,3184,10309,no,0,13309,,,,3000
3139,50261,嚼,,,,,,0,3062,4158,3850,3090,10310,no,0,13310,,,,3000
3140,2521,蒋,reed,,,2318,,0,3915,3365,2363,3040,10320,no,0,13320,,,,3000
3141,50299,栩,,,,,,0,3807,4205,3823,2310,10322,no,0,13322,,,,3000
3142,50172,筥,,,,,,0,3349,4055,4052,2924,10328,no,0,13328,,,,3000
3143,50488,壹,,,,,,0,3295,4419,3360,2617,10331,no,0,13331,,,,3000
3144,50064,櫨,,,,,,0,3066,3929,3773,3336,10331,no,0,13331,,,,3000
3145,49847,涅,,,,,,0,3955,3658,2991,2728,10341,no,0,13341,,,,3000
3146,49633,鼈,,,,,,0,3670,3349,4003,3341,10360,no,0,13360,,,,3000
3147,50134,栂,,,,,,0,3197,4011,3455,3156,10364,no,0,13364,,,,3000
3148,2662,綸,thread,,,,1,1,4212,3463,3369,2702,10377,no,0,13377,,,,3000
3149,3040,埜,open country,,,,,1,2773,5011,2943,2602,10386,no,0,13386,,,,3000
3150,49832,蜥,,,,,,0,3620,3639,3526,3128,10387,no,0,13387,,,,3000
3151,2977,戊,5th calendar sign,,,,,1,3219,3778,2351,3396,10393,no,0,13393,,,,3000
3152,50075,邇,,,,,,0,3201,3944,2824,3258,10403,no,0,13403,,,,3000
3153,50614,濾,,,,,,0,2891,4565,3016,2962,10418,no,0,13418,,,,3000
3154,49841,蜴,,,,,,0,3637,3652,3543,3129,10418,no,0,13418,,,,3000
3155,49522,笊,,,,,,0,3964,3191,4495,3269,10424,no,0,13424,,,,3000
3156,50379,鑽,,,,,,0,3246,4297,3228,2884,10427,no,0,13427,,,,3000
3157,50620,站,,,,,,0,2949,4571,2067,2909,10429,no,0,13429,,,,3000
3158,3107,窄,narrow,,,,,1,3314,3800,3400,3322,10436,no,0,13436,,,,3000
3159,50312,衙,,,,,,0,3334,4221,2888,2886,10441,no,0,13441,,,,3000
3160,2313,鴈,wild goose,,,2011,,0,4006,4136,3557,2301,10443,no,0,13443,,,,3000
3161,49693,卦,,,,,,0,3533,3438,3009,3476,10447,no,0,13447,,,,3000
3162,49864,罫,,,,,,0,3776,3679,3797,3004,10459,no,0,13459,,,,3000
3163,49774,夾,,,,,,0,3373,3558,3868,3529,10460,no,0,13460,,,,3000
3164,2365,篭,seclude oneself,,,2071,,0,2461,5056,2579,2949,10466,no,0,13466,,,,3000
3165,3128,錐,auger,,,,,1,4215,3182,2455,3072,10469,no,0,13469,,,,3000
3166,2648,笙,a reed instrument,,,,1,1,3572,4310,3276,2587,10469,no,0,13469,,,,3000
3167,50727,匝,,,,,,0,3148,4685,3100,2639,10472,no,0,13472,,,,3000
3168,49969,菟,,,,,,0,3376,3813,3157,3288,10477,no,0,13477,,,,3000
3169,50096,娜,,,,,,0,4080,3968,3534,2445,10493,no,0,13493,,,,3000
3170,50201,沐,,,,,,0,3348,4090,3934,3060,10498,no,0,13498,,,,3000
3171,50305,潭,,,,,,0,3280,4212,2785,3012,10504,no,0,13504,,,,3000
3172,2322,蜷,an edible river snail,,,2020,,0,2925,5114,2985,2465,10504,no,0,13504,,,,3000
3173,49904,叟,,,,,,0,3800,3728,3636,2982,10510,no,0,13510,,,,3000
3174,3085,祁,intense,,,,,1,3408,3945,3066,3163,10516,no,0,13516,,,,3000
3175,49581,悍,,,,,,0,3648,3276,3958,3602,10526,no,0,13526,,,,3000
3176,49719,闍,,,,,,0,3474,3483,3528,3571,10528,no,0,13528,,,,3000
3177,2438,桧,Japanese cypress,,,2186,,1,2687,5124,2693,2722,10533,no,0,13533,,,,3000
3178,50030,憔,,,,,,0,3828,3884,4647,2823,10535,no,0,13535,,,,3000
3179,51175,膀,,,,,,0,2633,5156,3226,2757,10546,no,0,13546,,,,3000
3180,50315,崑,,,,,,0,3488,4225,2933,2835,10548,no,0,13548,,,,3000
3181,49410,搗,,,,,,0,3931,2993,4101,3626,10550,no,0,13550,,,,3000
3182,49740,駝,,,,,,0,3903,3509,3884,3145,10557,no,0,13557,,,,3000
3183,50293,拿,,,,,,0,3934,4198,3147,2427,10559,no,0,13559,,,,3000
3184,51184,胱,,,,,,0,2635,5166,3238,2758,10559,no,0,13559,,,,3000
3185,2588,諌,admonish,,,2425,,0,2915,4595,3194,3051,10561,no,0,13561,,,,3000
3186,2660,晏,late,,,,1,1,3455,3967,3432,3144,10566,no,0,13566,,,,3000
3187,50114,脾,,,,,,0,3810,3987,3510,2793,10590,no,0,13590,,,,3000
3188,2359,脩,dried meat,,,2061,1,1,3442,4089,2577,3063,10594,no,0,13594,,,,3000
3189,49840,衍,,,,,,0,4024,3651,3177,2920,10595,no,0,13595,,,,3000
3190,50697,鰤,,,,,,0,2686,4653,4761,3259,10598,no,0,13598,,,,3000
3191,50490,檗,,,,,,0,3019,4421,3367,3159,10599,no,0,13599,,,,3000
3192,49529,樵,,,,,,0,3952,3205,3780,3444,10601,no,0,13601,,,,3000
3193,50092,滸,,,,,,0,3022,3963,2585,3618,10603,no,0,13603,,,,3000
3194,49909,駱,,,,,,0,3904,3734,3790,2966,10604,no,0,13604,,,,3000
3195,50070,寇,,,,,,0,3757,3937,2773,2913,10607,no,0,13607,,,,3000
3196,2514,穣,good crops,,,2303,1,1,3188,5184,2733,2239,10611,no,0,13611,,,,3000
3197,50127,莽,,,,,,0,3379,4002,3420,3231,10612,no,0,13612,,,,3000
3198,2850,釉,glaze,,,,,1,3511,3824,3198,3278,10613,no,0,13613,,,,3000
3199,49812,噪,,,,,,0,3728,3613,5053,3273,10614,no,0,13614,,,,3000
3200,51119,蹊,,,,,,0,2841,5095,2766,2688,10624,no,0,13624,,,,3000
3201,50083,傅,,,,,,0,4012,3954,2924,2660,10626,no,0,13626,,,,3000
3202,50501,炳,,,,,,0,4237,4433,3247,1959,10629,no,0,13629,,,,3000
3203,50636,盪,,,,,,0,3205,4588,4004,2859,10652,no,0,13652,,,,3000
3204,50654,肛,,,,,,0,2468,4608,2857,3582,10658,no,0,13658,,,,3000
3205,50063,酩,,,,,,0,3386,3928,4090,3351,10665,no,0,13665,,,,3000
3206,50527,耿,,,,,,0,3313,4468,3340,2890,10671,no,0,13671,,,,3000
3207,49807,隧,,,,,,0,3553,3604,2961,3522,10679,no,0,13679,,,,3000
3208,49658,拱,,,,,,0,4133,3383,4139,3167,10683,no,0,13683,,,,3000
3209,49767,鎗,,,,,,0,3709,3548,4067,3430,10687,no,0,13687,,,,3000
3210,51044,黌,,,,,,0,2871,5018,3546,2799,10688,no,0,13688,,,,3000
3211,3003,亙,range,,,,,1,4272,3045,3862,3372,10689,no,0,13689,,,,3000
3212,50058,蜩,,,,,,0,3961,3920,4766,2820,10701,no,0,13701,,,,3000
3213,50065,酊,,,,,,0,3422,3930,4022,3352,10704,no,0,13704,,,,3000
3214,49752,崗,,,,,,0,4116,3526,2606,3066,10708,no,0,13708,,,,3000
3215,2692,燿,shine,,,,1,1,3182,4671,2995,2860,10713,no,0,13713,,,,3000
3216,51068,邱,,,,,,0,3321,5042,2413,2373,10736,no,0,13736,,,,3000
3217,50277,睾,,,,,,0,3331,4178,3787,3232,10741,no,0,13741,,,,3000
3218,50416,綬,,,,,,0,4279,4341,2083,2122,10742,no,0,13742,,,,3000
3219,50509,疆,,,,,,0,4128,4442,2679,2181,10751,no,0,13751,,,,3000
3220,50356,范,,,,,,0,4140,4272,2860,2343,10755,no,0,13755,,,,3000
3221,51838,砺,,,,,,0,2606,5837,2442,2324,10767,no,0,13767,,,,3000
3222,50309,芻,,,,,,0,3371,4217,3960,3183,10771,no,0,13771,,,,3000
3223,49688,廬,,,,,,0,3892,3432,3151,3456,10780,no,0,13780,,,,3000
3224,2712,奎,star,,,,1,1,4196,4088,3173,2521,10805,no,0,13805,,,,3000
3225,50048,饌,,,,,,0,3896,3907,3550,3006,10809,no,0,13809,,,,3000
3226,49775,俘,,,,,,0,3780,3559,3472,3486,10825,no,0,13825,,,,3000
3227,51830,姶,,,,,,0,2829,5829,2765,2177,10835,no,0,13835,,,,3000
3228,2326,旛,flag,,,2027,,0,2921,4691,2692,3251,10863,no,0,13863,,,,3000
3229,2674,晟,clear,,,,1,1,2881,5439,3210,2551,10871,no,0,13871,,,,3000
3230,2342,煥,shine,,,2043,,0,3855,4538,3042,2482,10875,no,0,13875,,,,3000
3231,2837,堯,high,,,,,1,4314,3338,2620,3229,10881,no,0,13881,,,,3000
3232,2684,燎,burn,,,,1,1,2820,4561,4422,3500,10881,no,0,13881,,,,3000
3233,50674,鈷,,,,,,0,3358,4628,3904,2898,10884,no,0,13884,,,,3000
3234,2715,熙,bright,,,,1,1,3384,5059,2275,2442,10885,no,0,13885,,,,3000
3235,2330,檄,written appeal,,,2031,,0,3319,4175,3609,3394,10888,no,0,13888,,,,3000
3236,49897,隘,,,,,,0,3929,3720,2980,3243,10892,no,0,13892,,,,3000
3237,50788,仗,,,,,,0,3640,4751,3608,2502,10893,no,0,13893,,,,3000
3238,49805,攪,,,,,,0,3851,3602,3271,3442,10895,no,0,13895,,,,3000
3239,50090,萸,,,,,,0,3597,3961,5072,3343,10901,no,0,13901,,,,3000
3240,2493,黛,blackened eyebrows,,,2261,1,1,3069,4210,3138,3625,10904,no,0,13904,,,,3000
3241,2670,梧,Chinese parasol tree,,,,1,1,4341,3302,2703,3262,10905,no,0,13905,,,,3000
3242,2474,悌,serving our elders,,,2234,1,1,3352,4509,3004,3068,10929,no,0,13929,,,,3000
3243,3076,笈,backpack bookcase,,,,,1,3337,4028,3601,3580,10945,no,0,13945,,,,3000
3244,49891,俎,,,,,,0,3650,3712,4046,3589,10951,no,0,13951,,,,3000
3245,2439,彪,spotted,,,2187,1,1,2961,4437,3090,3561,10959,no,0,13959,,,,3000
3246,2509,椙,Japanese cedar,,,2294,,0,3199,5207,3256,2580,10986,no,0,13986,,,,3000
3247,51221,泗,,,,,,0,3395,5205,3266,2395,10995,no,0,13995,,,,3000
3248,2653,昴,the Pleiades,,,,1,1,2911,5199,2801,2897,11007,no,0,14007,,,,3000
3249,50145,瑾,,,,,,0,3781,4025,3766,3201,11007,no,0,14007,,,,3000
3250,49896,婉,,,,,,0,3879,3719,3611,3421,11019,no,0,14019,,,,3000
3251,50089,茱,,,,,,0,3720,3960,4621,3342,11022,no,0,14022,,,,3000
3252,2707,瑳,polish,,,,1,1,3018,5397,3064,2640,11055,no,0,14055,,,,3000
3253,2333,洸,sparkling water,,,2034,1,1,2551,5854,3049,2664,11069,no,0,14069,,,,3000
3254,49872,戈,,,,,,0,3869,3688,3776,3516,11073,no,0,14073,,,,3000
3255,2651,洵,alike,,,,1,1,4112,3643,3758,3328,11083,no,0,14083,,,,3000
3256,49910,廼,,,,,,0,3905,3735,3401,3448,11088,no,0,14088,,,,3000
3257,49602,帛,,,,,,0,4186,3309,3525,3597,11092,no,0,14092,,,,3000
3258,50203,霖,,,,,,0,3794,4092,3136,3214,11100,no,0,14100,,,,3000
3259,51306,甑,,,,,,0,3480,5292,2895,2342,11114,no,0,14114,,,,3000
3260,51002,眈,,,,,,0,3031,4975,4503,3126,11132,no,0,14132,,,,3000
3261,2681,恕,excuse,,,,1,1,3784,3765,3243,3590,11139,no,0,14139,,,,3000
3262,49848,苞,,,,,,0,4208,3660,3414,3284,11152,no,0,14152,,,,3000
3263,49857,緞,,,,,,0,3995,3671,4192,3488,11154,no,0,14154,,,,3000
3264,50466,斂,,,,,,0,3669,4395,3565,3120,11184,no,0,14184,,,,3000
3265,50836,陝,,,,,,0,3739,4801,2709,2646,11186,no,0,14186,,,,3000
3266,2355,簗,weir,,,2056,,0,3267,5146,3253,2777,11190,no,0,14190,,,,3000
3267,50204,愾,,,,,,0,3729,4093,4227,3381,11203,no,0,14203,,,,3000
3268,50336,炯,,,,,,0,3525,4251,3770,3432,11208,no,0,14208,,,,3000
3269,51614,膵,,,,,,0,3503,5609,3010,2103,11215,no,0,14215,,,,3000
3270,49675,樅,,,,,,0,4203,3410,3404,3605,11218,no,0,14218,,,,3000
3271,2179,煕,shine,,,1002,,0,3287,4599,2641,3337,11223,no,0,14223,,,,3000
3272,51095,娥,,,,,,0,3956,5071,3474,2196,11223,no,0,14223,,,,3000
3273,49780,憺,,,,,,0,4328,3567,4440,3335,11230,no,0,14230,,,,3000
3274,50988,邨,,,,,,0,3466,4961,3149,2804,11231,no,0,14231,,,,3000
3275,50131,戔,,,,,,0,3874,4007,3922,3357,11238,no,0,14238,,,,3000
3276,50596,嶼,,,,,,0,3822,4545,2617,2887,11254,no,0,14254,,,,3000
3277,51205,澳,,,,,,0,2744,5188,3032,3331,11263,no,0,14263,,,,3000
3278,50015,媽,,,,,,0,3816,3867,4018,3585,11268,no,0,14268,,,,3000
3279,50722,窈,,,,,,0,3566,4680,3512,3041,11287,no,0,14287,,,,3000
3280,49883,樗,,,,,,0,3953,3703,4179,3637,11293,no,0,14293,,,,3000
3281,2646,諄,tedious,,,,1,1,3683,4008,4246,3607,11298,no,0,14298,,,,3000
3282,51378,吽,,,,,,0,2994,5365,3800,2943,11302,no,0,14302,,,,3000
3283,50051,盂,,,,,,0,4005,3911,3985,3386,11302,no,0,14302,,,,3000
3284,51006,繚,,,,,,0,2759,4979,2930,3586,11324,no,0,14324,,,,3000
3285,50517,鎬,,,,,,0,4493,4452,3134,2380,11325,no,0,14325,,,,3000
3286,49930,塹,,,,,,0,4391,3760,3212,3181,11332,no,0,14332,,,,3000
3287,49908,淮,,,,,,0,3978,3732,2761,3624,11334,no,0,14334,,,,3000
3288,2559,頚,neck,,,2388,,0,3075,5159,3073,3103,11337,no,0,14337,,,,3000
3289,50248,撼,,,,,,0,3607,4143,3954,3604,11354,no,0,14354,,,,3000
3290,2403,猷,plan,,,2121,,0,3561,4863,3155,2938,11362,no,0,14362,,,,3000
3291,51480,謌,,,,,,0,3365,5471,5120,2540,11376,no,0,14376,,,,3000
3292,50377,鰺,,,,,,0,3941,4295,3349,3149,11385,no,0,14385,,,,3000
3293,50725,佼,,,,,,0,3500,4683,3267,3204,11387,no,0,14387,,,,3000
3294,50302,鴛,,,,,,0,3582,4208,3720,3600,11390,no,0,14390,,,,3000
3295,50691,卉,,,,,,0,3291,4647,3564,3463,11401,no,0,14401,,,,3000
3296,50307,萼,,,,,,0,3611,4214,3351,3579,11404,no,0,14404,,,,3000
3297,50369,杣,,,,,,0,4387,4286,3451,2737,11410,no,0,14410,,,,3000
3298,2573,僑,temporary home,,,2408,,0,3402,4735,3001,3277,11414,no,0,14414,,,,3000
3299,49769,闖,,,,,,0,4427,3550,4814,3450,11427,no,0,14427,,,,3000
3300,2706,瑶,beautiful as a jewel,,,,1,1,3556,5524,3631,2355,11435,no,0,14435,,,,3000
3301,50623,紆,,,,,,0,3388,4574,3162,3477,11439,no,0,14439,,,,3000
3302,50350,樊,,,,,,0,4368,4266,3384,2811,11445,no,0,14445,,,,3000
3303,50462,纈,,,,,,0,4085,4391,4365,2977,11453,no,0,14453,,,,3000
3304,2336,溥,far and wide,,,2037,,0,4184,4719,2977,2557,11460,no,0,14460,,,,3000
3305,50542,崙,,,,,,0,3887,4485,3225,3102,11474,no,0,14474,,,,3000
3306,51601,苓,,,,,,0,3444,5596,3560,2440,11480,no,0,14480,,,,3000
3307,49923,賈,,,,,,0,4291,3752,2992,3457,11500,no,0,14500,,,,3000
3308,50700,獏,,,,,,0,3549,4656,3293,3298,11503,no,0,14503,,,,3000
3309,50301,辜,,,,,,0,4219,4207,4466,3077,11503,no,0,14503,,,,3000
3310,49842,逡,,,,,,0,4342,3653,4517,3511,11506,no,0,14506,,,,3000
3311,49750,耆,,,,,,0,4353,3524,2616,3639,11516,no,0,14516,,,,3000
3312,50161,棗,,,,,,0,3972,4043,3320,3527,11542,no,0,14542,,,,3000
3313,50539,纐,,,,,,0,4084,4482,4585,2976,11542,no,0,14542,,,,3000
3314,50216,楮,,,,,,0,4325,4105,4205,3114,11544,no,0,14544,,,,3000
3315,50321,颪,,,,,,0,3772,4231,4187,3546,11549,no,0,14549,,,,3000
3316,51092,鬆,,,,,,0,3404,5068,4091,3088,11560,no,0,14560,,,,3000
3317,50794,炮,,,,,,0,4044,4757,3670,2816,11617,no,0,14617,,,,3000
3318,50150,痲,,,,,,0,4139,4031,6284,3472,11642,no,0,14642,,,,3000
3319,51386,糀,,,,,,0,3138,5373,3722,3132,11643,no,0,14643,,,,3000
3320,52111,閖,,,,,,0,2946,6117,4242,2590,11653,no,0,14653,,,,3000
3321,2353,篆,seal-style characters,,,2054,,0,4321,4359,2918,2994,11674,no,0,14674,,,,3000
3322,50591,睛,,,,,,0,3965,4540,4808,3174,11679,no,0,14679,,,,3000
3323,50785,殯,,,,,,0,3932,4748,4559,3057,11737,no,0,14737,,,,3000
3324,51050,栢,,,,,,0,3592,5024,3408,3123,11739,no,0,14739,,,,3000
3325,51479,淞,,,,,,0,3494,5470,3740,2782,11746,no,0,14746,,,,3000
3326,50508,箝,,,,,,0,4227,4441,6425,3086,11754,no,0,14754,,,,3000
3327,50638,孑,,,,,,0,3886,4590,5900,3286,11762,no,0,14762,,,,3000
3328,51447,椚,,,,,,0,3252,5435,3942,3080,11767,no,0,14767,,,,3000
3329,50735,鑓,,,,,,0,4240,4695,3618,2852,11787,no,0,14787,,,,3000
3330,2380,姚,beautiful,,,2090,,0,3999,5137,3077,2656,11792,no,0,14792,,,,3000
3331,50864,梔,,,,,,0,3550,4831,4913,3496,11877,no,0,14877,,,,3000
3332,50489,錚,,,,,,0,4244,4420,4241,3219,11883,no,0,14883,,,,3000
3333,50147,竭,,,,,,0,4506,4027,5475,3354,11887,no,0,14887,,,,3000
3334,50108,雍,,,,,,0,4388,3981,2807,3548,11917,no,0,14917,,,,3000
3335,50393,漑,,,,,,0,4187,4317,2745,3427,11931,no,0,14931,,,,3000
3336,50646,馮,,,,,,0,4060,4600,2767,3300,11960,no,0,14960,,,,3000
3337,2446,撚,twist,,,2196,,0,4485,3913,3914,3566,11964,no,0,14964,,,,3000
3338,50464,馥,,,,,,0,4094,4393,4208,3484,11971,no,0,14971,,,,3000
3339,50827,癬,,,,,,0,4147,4792,3588,3082,12021,no,0,15021,,,,3000
3340,50991,莵,,,,,,0,3537,4964,4794,3568,12069,no,0,15069,,,,3000
3341,50422,鎔,,,,,,0,4496,4349,4008,3234,12079,no,0,15079,,,,3000
3342,2649,侃,strong,,,,1,1,3933,5262,3575,2908,12103,no,0,15103,,,,3000
3343,51262,鉉,,,,,,0,4278,5247,2971,2622,12147,no,0,15147,,,,3000
3344,50978,冰,,,,,,0,3939,4951,3494,3291,12181,no,0,15181,,,,3000
3345,51434,鰆,,,,,,0,3224,5422,6198,3544,12190,no,0,15190,,,,3000
3346,50850,坏,,,,,,0,3842,4816,4537,3557,12215,no,0,15215,,,,3000
3347,3067,椛,birch,,,,,1,2856,5865,3650,3524,12245,no,0,15245,,,,3000
3348,51038,錣,,,,,,0,4449,5012,4334,2815,12276,no,0,15276,,,,3000
3349,50865,蘂,,,,,,0,3854,4832,3339,3598,12284,no,0,15284,,,,3000
3350,51106,鰓,,,,,,0,3826,5082,2955,3392,12300,no,0,15300,,,,3000
3351,51511,槎,,,,,,0,3624,5503,4142,3180,12307,no,0,15307,,,,3000
3352,2661,迪,edify,,,,1,1,3967,5133,3056,3289,12389,no,0,15389,,,,3000
3353,51116,蘋,,,,,,0,4155,5092,3749,3168,12415,no,0,15415,,,,3000
3354,51007,橈,,,,,,0,3883,4980,3779,3588,12451,no,0,15451,,,,3000
3355,50758,忸,,,,,,0,4217,4718,6206,3517,12452,no,0,15452,,,,3000
3356,51449,鋺,,,,,,0,4022,5437,4151,3024,12483,no,0,15483,,,,3000
3357,51051,沱,,,,,,0,4408,5025,4452,3165,12598,no,0,15598,,,,3000
3358,51164,卞,,,,,,0,4144,5144,4086,3395,12683,no,0,15683,,,,3000
3359,2909,昊,sky,,,,,1,4472,5632,3313,2581,12685,no,0,15685,,,,3000
3360,2361,舩,boat,,,2063,,0,4335,5453,3545,2911,12699,no,0,15699,,,,3000
3361,51124,怩,,,,,,0,4104,5100,6180,3518,12722,no,0,15722,,,,3000
3362,51497,潴,,,,,,0,3635,5488,3643,3601,12724,no,0,15724,,,,3000
3363,51034,耒,,,,,,0,4210,5007,4518,3606,12823,no,0,15823,,,,3000
3364,2307,赳,strong and brave,,,2005,1,1,4319,6073,3166,2453,12845,no,0,15845,,,,3000
3365,51602,硲,,,,,,0,3778,5597,4108,3491,12866,no,0,15866,,,,3000
3366,51240,气,,,,,,0,4304,5225,4525,3353,12882,no,0,15882,,,,3000
3367,51315,臚,,,,,,0,4322,5302,4293,3287,12911,no,0,15911,,,,3000
3368,51625,筰,,,,,,0,4188,5620,3788,3237,13045,no,0,16045,,,,3000
3369,51364,甄,,,,,,0,4276,5351,3736,3505,13132,no,0,16132,,,,3000
3370,2351,笘,whip,,,2052,,0,4490,5559,4652,3097,13146,no,0,16146,,,,3000
3371,51740,桷,,,,,,0,4296,5737,7085,3318,13351,no,0,16351,,,,3000
3372,51316,沂,,,,,,0,4505,5303,3561,3621,13429,no,0,16429,,,,3000
3373,51619,茯,,,,,,0,4412,5614,5299,3424,13450,no,0,16450,,,,3000
3374,51804,燮,,,,,,0,4452,5803,3617,3207,13462,no,0,16462,,,,3000
3375,51961,娚,,,,,,0,4403,5964,5961,3431,13798,no,0,16798,,,,3000
3376,52062,峪,,,,,,0,4494,6067,4019,3471,14032,no,0,17032,,,,3000
