Order,id,kanji_name,kanji_meaning,strokes,grade,newspaper_frequency,jlpt_level,jinmeiyo,twitter_frequency,aozora_frequency,wikipedia_frequency,news_frequency,sum,missing_column,# strokes bonus,TOTAL SCORE,top 100,,top 100 bonus,Not Jouyou Penalty
71,719,最,most,12,4,339,3,0,20,173,137,66,259,no,0,259,2,,0,0
72,1207,全,whole,6,3,214,3,0,62,127,93,71,260,no,0,260,1,,10000,0
73,1324,代,substitute,5,3,172,4,0,108,74,35,80,262,no,0,262,1,,10000,0
74,98,円,"round, yen",4,1,463,5,1,179,522,470,35,736,no,472,264,1,,10000,0
75,1515,東,east,8,2,130,5,1,15,237,32,17,269,no,0,269,2,,0,0
76,1368,知,know,8,2,161,4,0,71,45,194,166,282,no,0,282,,,0,0
77,158,家,house,10,2,477,4,0,77,35,77,173,285,no,0,285,2,,0,0
78,1306,体,body,7,2,180,4,0,80,117,90,88,285,no,0,285,2,,0,0
79,1660,発,departure,9,3,82,4,0,139,133,45,14,286,no,0,286,2,,0,0
80,44,意,idea,13,3,490,4,0,114,59,218,124,297,no,0,297,,,0,0
81,1512,当,hit,6,2,131,3,0,74,101,109,123,298,no,0,298,1,,10000,0
82,2141,話,talk,13,2,6,5,1,68,67,134,165,300,no,0,300,2,,0,0
83,443,金,gold,8,1,391,5,1,87,130,146,90,307,no,0,307,,,0,0
84,2056,立,stand up,5,1,17,4,0,176,42,50,91,309,no,0,309,1,,10000,0
85,1965,野,field,11,2,38,4,0,81,154,65,79,314,no,0,314,2,,0,0
86,1550,動,move,11,3,118,4,0,109,110,60,97,316,no,0,316,2,,0,0
87,1937,名,name,6,1,40,5,1,72,89,17,162,323,no,0,323,1,,10000,0
88,850,実,truth,8,3,296,3,0,148,66,153,114,328,no,0,328,,,0,0
89,2049,理,reason,11,2,15,4,0,98,86,122,146,330,no,0,330,,,0,0
90,1471,的,target,8,4,149,,0,190,39,86,104,333,no,0,333,2,,0,0
91,796,思,think,9,2,307,4,0,22,10,353,303,335,no,0,335,,,0,0
92,1305,対,opposite,7,3,181,3,0,123,150,113,65,338,no,0,338,,,0,0
93,1553,道,road,12,2,121,4,0,128,98,22,115,341,no,0,341,2,,0,0
94,1181,先,previous,6,1,205,5,1,85,70,379,190,345,no,0,345,,,0,0
95,734,作,make,7,2,334,4,0,112,47,16,187,346,no,0,346,2,,0,0
96,774,氏,family name,4,4,313,1,0,491,227,384,102,820,no,472,348,,,0,0
97,1933,無,nothing,12,4,47,,0,56,57,258,238,351,no,0,351,,,0,0
98,409,京,capital,8,2,407,4,0,24,281,82,48,353,no,0,353,2,,0,0
99,956,所,place,8,3,250,3,0,173,69,55,112,354,no,0,354,2,,0,0
100,1775,風,wind,9,2,586,4,0,130,108,425,122,360,no,0,360,,,0,0
101,1504,土,soil,3,1,126,5,1,261,235,272,419,915,no,553,362,1,,10000,0
102,442,近,near,7,2,390,4,0,69,131,252,171,371,no,0,371,,,0,0
103,1788,物,thing,8,3,75,4,0,138,41,48,195,374,no,0,374,2,,0,0
104,286,感,feeling,13,3,437,3,0,60,82,602,233,375,no,0,375,,,0,0
105,208,外,outside,5,2,444,5,1,157,103,99,117,377,no,0,377,1,,10000,0
106,144,火,fire,4,1,982,5,1,326,238,427,288,852,no,472,380,1,,10000,0
107,1452,定,decide,8,3,147,3,0,101,243,56,41,385,no,0,385,,,0,0
108,878,取,take,8,3,283,3,0,184,106,211,95,385,no,0,385,,,0,0
109,1062,神,god,9,3,243,3,0,67,109,119,219,395,no,0,395,,,0,0
110,1304,太,thick,4,2,708,3,0,333,163,247,377,873,no,472,401,1,,10000,0
111,828,持,hold,9,3,303,4,0,121,55,257,235,411,no,0,411,,,0,0
112,1234,相,mutual,9,3,185,3,0,221,116,295,74,411,no,0,411,,,0,0
113,955,初,first,7,4,249,3,0,136,176,139,101,413,no,0,413,,,0,0
114,1486,点,point,9,2,153,3,0,118,209,172,89,416,no,0,416,1,,10000,0
115,1119,成,become,6,4,223,3,0,200,95,43,133,428,no,0,428,,,0,0
116,854,車,car,7,1,288,5,1,70,204,69,155,429,no,0,429,,,0,0
117,569,戸,door,4,2,864,2,0,273,236,300,400,909,no,472,437,1,,10000,0
118,1359,男,male,7,1,159,5,1,240,102,261,99,441,no,0,441,,,0,0
119,130,屋,roof,9,3,976,4,0,84,62,273,301,447,no,0,447,,,0,0
120,26,以,by means of,5,4,487,4,0,237,136,131,78,451,no,0,451,1,,10000,0
121,1116,世,world,5,3,224,4,0,236,83,92,139,458,no,0,458,,,0,0
122,1326,第,ordinal number prefix,11,3,175,1,0,280,81,31,103,464,no,0,464,,,0,0
123,563,現,appear,11,5,365,3,0,213,124,105,127,464,no,0,464,,,0,0
124,1296,多,many,6,2,196,4,0,129,122,152,213,464,no,0,464,,,0,0
125,23,安,cheap,6,3,485,4,0,171,245,292,54,470,no,0,470,,,0,0
126,782,死,death,6,3,312,4,0,180,138,334,157,475,no,0,475,,,0,0
127,562,原,field,10,2,386,3,0,167,202,108,107,476,no,0,476,,,0,0
128,1125,性,gender,8,5,227,3,0,246,166,130,64,476,no,0,476,,,0,0
129,1115,井,well,4,10,494,1,0,314,372,193,266,952,no,472,480,1,,10000,0
130,421,強,strong,11,2,404,4,0,116,261,385,110,487,no,0,487,,,0,0
131,1729,表,express,8,3,96,3,0,303,157,96,30,490,no,0,490,,,0,0
132,1998,予,in advance,4,3,27,3,0,178,676,450,108,962,no,472,490,,,0,0
133,853,社,company,7,2,286,4,0,228,188,36,77,493,no,0,493,,,0,0
134,193,海,sea,9,2,441,4,0,147,230,114,116,493,no,0,493,,,0,0
135,1521,島,island,10,3,128,2,0,122,299,78,75,496,no,0,496,,,0,0
136,779,市,market,5,2,319,3,0,11,473,14,13,497,no,0,497,1,,10000,0
137,290,関,related,14,4,429,3,0,207,225,54,72,504,no,0,504,,,0,0
138,198,開,open,12,3,443,4,0,205,259,72,43,507,no,0,507,,,0,0
139,2117,連,take along,10,4,1,3,0,163,290,88,55,508,no,0,508,,,0,0
140,2003,用,use,5,2,24,4,0,245,137,19,132,514,no,0,514,,,0,0
141,463,空,sky,8,1,395,4,0,195,84,174,237,516,no,0,516,,,0,0
